GENOME	ENTROPIES for motif lengths [1 2 3 4 5 6 7 8 9]
141959751293004905374214707637822408942	1.000000000000000e+00 2.000000000000000e+00 3.000000000000004e+00 3.281250000000000e+00 3.421875000000000e+00 3.468750000000000e+00 3.484375000000000e+00 3.492187500000000e+00 3.500000000000000e+00
283343538266967699278929020476309583548	1.000000000000000e+00 2.000000000000000e+00 3.000000000000004e+00 3.375000000000000e+00 3.468750000000000e+00 3.476562500000000e+00 3.484375000000000e+00 3.492187500000000e+00 3.500000000000000e+00
1844472950617118126332661374349517959	1.000000000000000e+00 2.000000000000000e+00 3.000000000000004e+00 3.148437500000001e+00 3.281250000000001e+00 3.375000000000001e+00 3.437500000000000e+00 3.484375000000000e+00 3.500000000000000e+00
191521886572083518257227095703127484558	1.000000000000000e+00 2.000000000000000e+00 3.000000000000004e+00 3.132812500000001e+00 3.250000000000001e+00 3.351562500000000e+00 3.437500000000000e+00 3.484375000000000e+00 3.500000000000000e+00
102982332194350266870037668838491214683	1.000000000000000e+00 2.000000000000000e+00 3.000000000000004e+00 3.203125000000002e+00 3.312500000000001e+00 3.375000000000001e+00 3.437500000000000e+00 3.484375000000000e+00 3.500000000000000e+00
75444142396792301832647406251149645725	1.000000000000000e+00 2.000000000000000e+00 3.000000000000004e+00 3.257812500000001e+00 3.406250000000000e+00 3.468750000000000e+00 3.484375000000000e+00 3.492187500000000e+00 3.500000000000000e+00
31947984920005633514666354251726065371	1.000000000000000e+00 2.000000000000000e+00 3.000000000000004e+00 3.296875000000000e+00 3.421875000000000e+00 3.460937500000000e+00 3.484375000000000e+00 3.492187500000000e+00 3.500000000000000e+00
132541546182696764957602599471909227193	1.000000000000000e+00 2.000000000000000e+00 3.000000000000004e+00 3.203125000000002e+00 3.328125000000001e+00 3.390625000000000e+00 3.453125000000000e+00 3.484375000000000e+00 3.500000000000000e+00
290733588257867955164520976413740723667	1.000000000000000e+00 2.000000000000000e+00 3.000000000000004e+00 3.164062500000001e+00 3.296875000000000e+00 3.375000000000001e+00 3.453125000000000e+00 3.492187500000000e+00 3.500000000000000e+00
327355940124114375490620529590672257779	1.000000000000000e+00 2.000000000000000e+00 3.000000000000004e+00 3.351562500000001e+00 3.453125000000000e+00 3.476562500000000e+00 3.484375000000000e+00 3.492187500000000e+00 3.500000000000000e+00
247365030227303472968024174892599773500	1.000000000000000e+00 2.000000000000000e+00 3.000000000000004e+00 3.226562500000002e+00 3.328125000000001e+00 3.414062500000001e+00 3.453125000000000e+00 3.484375000000000e+00 3.500000000000000e+00
321888924326165107856405888754745050369	1.000000000000000e+00 2.000000000000000e+00 3.000000000000004e+00 3.273437500000002e+00 3.406250000000000e+00 3.445312500000000e+00 3.484375000000000e+00 3.492187500000000e+00 3.500000000000000e+00
146517101130444234046689245836310433920	1.000000000000000e+00 2.000000000000000e+00 3.000000000000004e+00 3.289062500000000e+00 3.437500000000000e+00 3.476562500000000e+00 3.484375000000000e+00 3.492187500000000e+00 3.500000000000000e+00
174691633714924949631754572656626997876	1.000000000000000e+00 2.000000000000000e+00 3.000000000000004e+00 3.375000000000001e+00 3.453125000000000e+00 3.468750000000000e+00 3.484375000000000e+00 3.492187500000000e+00 3.500000000000000e+00
290166591174452095794236408152209319718	1.000000000000000e+00 2.000000000000000e+00 3.000000000000004e+00 3.382812500000001e+00 3.453125000000000e+00 3.476562500000000e+00 3.484375000000000e+00 3.492187500000000e+00 3.500000000000000e+00
288618229487226854715135006291373278421	1.000000000000000e+00 2.000000000000000e+00 3.000000000000004e+00 3.273437500000003e+00 3.390625000000001e+00 3.453125000000000e+00 3.484375000000000e+00 3.492187500000000e+00 3.500000000000000e+00
171179231850351163371164697852391610116	1.000000000000000e+00 2.000000000000000e+00 3.000000000000004e+00 3.140625000000002e+00 3.281250000000001e+00 3.382812500000001e+00 3.453125000000000e+00 3.492187500000000e+00 3.500000000000000e+00
154115550583956420175085701104536002869	1.000000000000000e+00 2.000000000000000e+00 3.000000000000004e+00 3.218750000000001e+00 3.343750000000001e+00 3.421875000000000e+00 3.468750000000000e+00 3.484375000000000e+00 3.500000000000000e+00
230605333524425278488306855010134724167	1.000000000000000e+00 2.000000000000000e+00 3.000000000000004e+00 3.296875000000000e+00 3.437500000000000e+00 3.476562500000000e+00 3.484375000000000e+00 3.492187500000000e+00 3.500000000000000e+00
61985747524042001553576455939729342349	1.000000000000000e+00 2.000000000000000e+00 3.000000000000004e+00 3.195312500000001e+00 3.328125000000000e+00 3.406250000000000e+00 3.453125000000000e+00 3.484375000000000e+00 3.500000000000000e+00
90080131411518533530188792210942906722	1.000000000000000e+00 2.000000000000000e+00 3.000000000000004e+00 3.257812500000001e+00 3.390625000000000e+00 3.445312500000000e+00 3.484375000000000e+00 3.492187500000000e+00 3.500000000000000e+00
327884405297729648684405848757959328905	1.000000000000000e+00 2.000000000000000e+00 3.000000000000004e+00 3.257812500000001e+00 3.359375000000000e+00 3.414062500000000e+00 3.468750000000000e+00 3.492187500000000e+00 3.500000000000000e+00
202984655718942476965874747565652241744	1.000000000000000e+00 2.000000000000000e+00 3.000000000000004e+00 3.242187500000001e+00 3.359375000000000e+00 3.429687500000000e+00 3.468750000000000e+00 3.492187500000000e+00 3.500000000000000e+00
29898326607562334221221147281795345903	1.000000000000000e+00 2.000000000000000e+00 3.000000000000004e+00 3.343750000000001e+00 3.453125000000000e+00 3.476562500000000e+00 3.484375000000000e+00 3.492187500000000e+00 3.500000000000000e+00
57151765983437091529768034917006811579	1.000000000000000e+00 2.000000000000000e+00 3.000000000000004e+00 3.226562500000001e+00 3.359375000000000e+00 3.437500000000000e+00 3.468750000000000e+00 3.492187500000000e+00 3.500000000000000e+00
154053166454486437044924136118755293271	1.000000000000000e+00 2.000000000000000e+00 3.000000000000004e+00 3.195312500000002e+00 3.343750000000001e+00 3.406250000000001e+00 3.453125000000001e+00 3.484375000000000e+00 3.500000000000000e+00
265398330664908431336469948785971148892	1.000000000000000e+00 2.000000000000000e+00 3.000000000000004e+00 3.265625000000002e+00 3.390625000000001e+00 3.460937500000000e+00 3.484375000000000e+00 3.492187500000000e+00 3.500000000000000e+00
165655421810994225379571596444009987670	1.000000000000000e+00 2.000000000000000e+00 3.000000000000004e+00 3.210937500000003e+00 3.328125000000003e+00 3.414062500000002e+00 3.468750000000002e+00 3.484375000000000e+00 3.500000000000000e+00
278496006216331471337056562453997540643	1.000000000000000e+00 2.000000000000000e+00 3.000000000000004e+00 3.234375000000004e+00 3.359375000000002e+00 3.414062500000002e+00 3.453125000000001e+00 3.484375000000000e+00 3.500000000000000e+00
194504376647215813447989552421917345789	1.000000000000000e+00 2.000000000000000e+00 3.000000000000004e+00 3.359375000000000e+00 3.437500000000000e+00 3.476562500000000e+00 3.484375000000000e+00 3.492187500000000e+00 3.500000000000000e+00
12040230844966105772486689495904725059	1.000000000000000e+00 2.000000000000000e+00 3.000000000000004e+00 3.335937500000001e+00 3.453125000000000e+00 3.468750000000000e+00 3.484375000000000e+00 3.492187500000000e+00 3.500000000000000e+00
313602124346244958989760830843493562498	1.000000000000000e+00 2.000000000000000e+00 3.000000000000004e+00 3.234375000000002e+00 3.328125000000001e+00 3.406250000000000e+00 3.468750000000000e+00 3.484375000000000e+00 3.500000000000000e+00
20159394138190531552865907436203532423	1.000000000000000e+00 2.000000000000000e+00 3.000000000000004e+00 3.312500000000001e+00 3.437500000000000e+00 3.468750000000000e+00 3.484375000000000e+00 3.492187500000000e+00 3.500000000000000e+00
73421119553737902043973409751847479117	1.000000000000000e+00 2.000000000000000e+00 3.000000000000004e+00 3.226562500000002e+00 3.359375000000001e+00 3.437500000000000e+00 3.468750000000000e+00 3.484375000000000e+00 3.500000000000000e+00
238715360423272587981522241244631826580	1.000000000000000e+00 2.000000000000000e+00 3.000000000000004e+00 3.195312500000001e+00 3.312500000000001e+00 3.414062500000000e+00 3.453125000000000e+00 3.484375000000000e+00 3.500000000000000e+00
96143847228742674731953912370082094871	1.000000000000000e+00 2.000000000000000e+00 3.000000000000004e+00 3.265625000000001e+00 3.375000000000001e+00 3.414062500000000e+00 3.453125000000000e+00 3.492187500000000e+00 3.500000000000000e+00
195450392158833874495787299675543174056	1.000000000000000e+00 2.000000000000000e+00 3.000000000000004e+00 3.328125000000002e+00 3.421875000000001e+00 3.445312500000001e+00 3.468750000000000e+00 3.484375000000000e+00 3.500000000000000e+00
245775431979663610113951433721788448463	1.000000000000000e+00 2.000000000000000e+00 3.000000000000004e+00 3.171875000000002e+00 3.281250000000001e+00 3.375000000000001e+00 3.437500000000000e+00 3.484375000000000e+00 3.500000000000000e+00
338286465918212782790441772655584171761	1.000000000000000e+00 2.000000000000000e+00 3.000000000000004e+00 3.234375000000002e+00 3.359375000000001e+00 3.429687500000000e+00 3.484375000000000e+00 3.492187500000000e+00 3.500000000000000e+00
139833199711657725706839889442122998108	1.000000000000000e+00 2.000000000000000e+00 3.000000000000004e+00 3.226562500000001e+00 3.375000000000001e+00 3.421875000000000e+00 3.468750000000000e+00 3.484375000000000e+00 3.500000000000000e+00
61993731552033301189810165804152856425	1.000000000000000e+00 2.000000000000000e+00 3.000000000000004e+00 3.226562500000002e+00 3.359375000000000e+00 3.445312500000000e+00 3.484375000000000e+00 3.492187500000000e+00 3.500000000000000e+00
